"title","artist","region","total_streams","ranking"
"bad guy","Billie Eilish","Hungary",7035885,5
"Shallow","Lady Gaga, Bradley Cooper","Iceland",2942486,1
"Blinding Lights","The Weeknd","Iceland",2750977,2
"Upp Til Hópa","Herra Hnetusmjör, Ingi Bauer","Iceland",2650347,3
"Esjan","BRÍET","Iceland",2443655,4
"bad guy","Billie Eilish","Iceland",2323463,5
"Shayad","Pritam, Arijit Singh","India",91303784,1
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon","India",89554973,2
"Señorita","Shawn Mendes, Camila Cabello","India",82411177,3
"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","India",82086968,4
"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh","India",68050341,5
"To the Bone","Pamungkas","Indonesia",104550467,1
"Someone You Loved","Lewis Capaldi","Indonesia",96424590,2
"Memories","Maroon 5","Indonesia",86648640,3
"Bertaut","Nadin Amizah","Indonesia",85893648,4
"One Only","Pamungkas","Indonesia",85773149,5
"Someone You Loved","Lewis Capaldi","Ireland",28095194,1
"Dance Monkey","Tones And I","Ireland",22307859,2
"Blinding Lights","The Weeknd","Ireland",20155107,3
"Outnumbered","Dermot Kennedy","Ireland",18828331,4
"Shallow","Lady Gaga, Bradley Cooper","Ireland",18686525,5
"אלוף העולם","Hanan Ben Ari","Israel",8844249,1
"מסע","Eliad","Israel",8402767,2
"לשוב הביתה","Ishay Ribo","Israel",8233997,3
"Blinding Lights","The Weeknd","Israel",7986690,4
"Dance Monkey","Tones And I","Israel",7811183,5
"IL CIELO NELLA STANZA (feat. NSTASIA)","Salmo","Italy",121005534,1
"Una volta ancora (feat. Ana Mena)","Fred De Palma","Italy",111771124,2
"blun7 a swishland","tha Supreme","Italy",92733355,3
"malibu","sangiovanni","Italy",91551499,4
"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt","Italy",89788458,5
"夜に駆ける","YOASOBI","Japan",136433804,1
"Pretender","Official HIGE DANdism","Japan",130651963,2
"Dynamite","BTS","Japan",118556731,3
"白日","King Gnu","Japan",107937544,4
"115万キロのフィルム","Official HIGE DANdism","Japan",96189266,5
"I Got Love","MiyaGi & Endspiel, Rem Digga","Latvia",2190191,1
"Blinding Lights","The Weeknd","Latvia",2148185,2
"Roses - Imanbek Remix","SAINt JHN","Latvia",1737056,3
"bad guy","Billie Eilish","Latvia",1526918,4
"Lucid Dreams","Juice WRLD","Latvia",1478277,5
"Blinding Lights","The Weeknd","Lithuania",2866731,1
"Dance Monkey","Tones And I","Lithuania",2183044,2
"Roses - Imanbek Remix","SAINt JHN","Lithuania",2127982,3
"bad guy","Billie Eilish","Lithuania",2121698,4
"Watermelon Sugar","Harry Styles","Lithuania",2001056,5
"Shape of You","Ed Sheeran","Luxembourg",545731,1
"Despacito (Featuring Daddy Yankee)","Luis Fonsi","Luxembourg",257174,2
"Despacito - Remix","Luis Fonsi, Daddy Yankee, Justin Bieber","Luxembourg",248449,3
"Something Just Like This","The Chainsmokers, Coldplay","Luxembourg",224007,4
"It Ain't Me (with Selena Gomez)","Kygo","Luxembourg",198121,5
"Someone You Loved","Lewis Capaldi","Malaysia",26843846,1
"Say You Won't Let Go","James Arthur","Malaysia",24006715,2
"Perfect","Ed Sheeran","Malaysia",22455325,3
"Señorita","Shawn Mendes, Camila Cabello","Malaysia",21493035,4
"Memories","Maroon 5","Malaysia",19908030,5
"Me Rehúso","Danny Ocean","Mexico",318494012,1
"DÁKITI","Bad Bunny, Jhay Cortez","Mexico",265425628,2
"LA CANCIÓN","J Balvin, Bad Bunny","Mexico",250228761,3
"Hawái","Maluma","Mexico",249520559,4
"Tusa","KAROL G, Nicki Minaj","Mexico",248226557,5
"love nwantiti (feat. ElGrande Toto) - North African Remix","CKay, ElGrandeToto","Morocco",7125753,1
"Mghayer","ElGrandeToto","Morocco",5995233,2
"Nadi Canadi","Tagne","Morocco",4249156,3
"7ali Ya 7ali","Inkonnu","Morocco",3511116,4
"L'baida mon amour","7ari","Morocco",3379735,5
"Duurt Te Lang","Davina Michelle","Netherlands",88176827,1
"Dance Monkey","Tones And I","Netherlands",76505630,2
"Blinding Lights","The Weeknd","Netherlands",76296966,3
"Shape of You","Ed Sheeran","Netherlands",76294580,4
"Hoe Het Danst","Marco Borsato, Armin van Buuren, Davina Michelle","Netherlands",75535246,5
"Shape of You","Ed Sheeran","New Zealand",24861451,1
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee","New Zealand",19692847,2
"Someone You Loved","Lewis Capaldi","New Zealand",19073312,3
"Dance Monkey","Tones And I","New Zealand",19060234,4
"Dreams - 2004 Remaster","Fleetwood Mac","New Zealand",18630381,5
"DÁKITI","Bad Bunny, Jhay Cortez","Nicaragua",3376371,1
"LA CANCIÓN","J Balvin, Bad Bunny","Nicaragua",2956588,2
"Tusa","KAROL G, Nicki Minaj","Nicaragua",2595862,3
"Callaita","Bad Bunny, Tainy","Nicaragua",2352914,4
"No Me Conoce - Remix","Jhay Cortez, J Balvin, Bad Bunny","Nicaragua",2344024,5
"Dance Monkey","Tones And I","Norway",49817322,1
"Shallow","Lady Gaga, Bradley Cooper","Norway",43832861,2
"Someone You Loved","Lewis Capaldi","Norway",43161490,3
"Blinding Lights","The Weeknd","Norway",42834155,4
"Svag","Victor Leksell","Norway",41294851,5
"DÁKITI","Bad Bunny, Jhay Cortez","Panama",7020428,1
"Hecha Pa' Mi","Boza","Panama",5971338,2
"LA CANCIÓN","J Balvin, Bad Bunny","Panama",5897711,3
"Callaita","Bad Bunny, Tainy","Panama",5856360,4
"Tusa","KAROL G, Nicki Minaj","Panama",5594749,5
"DÁKITI","Bad Bunny, Jhay Cortez","Paraguay",16915039,1
"La Curiosidad","Jay Wheeler, DJ Nelson, Myke Towers","Paraguay",13042373,2
"LA NOCHE DE ANOCHE","Bad Bunny, ROSALÍA","Paraguay",12515350,3
"Bandido","Myke Towers, Juhn","Paraguay",12104909,4
"Hawái","Maluma","Paraguay",11987191,5
"Me Rehúso","Danny Ocean","Peru",48229375,1
"Desconocidos","Mau y Ricky, Manuel Turizo, Camilo","Peru",47508166,2
"Te Vi","Piso 21, Micro TDH","Peru",42784792,3
"Hawái","Maluma","Peru",41290960,4
"Tusa","KAROL G, Nicki Minaj","Peru",41145658,5
"Kathang Isip","Ben&Ben","Philippines",151921389,1
"Kung 'Di Rin Lang Ikaw","December Avenue, Moira Dela Torre","Philippines",131971305,2
"Maybe The Night","Ben&Ben","Philippines",128494465,3
"Say You Won't Let Go","James Arthur","Philippines",125019072,4
"Sana","I Belong to the Zoo","Philippines",121090157,5
"California","White 2115","Poland",42801858,1
"BUBBLETEA","Quebonafide, Duit, Daria Zawiałow","Poland",40351152,2
"Blinding Lights","The Weeknd","Poland",38351420,3
"Język ciała","Tymek, Big Scythe","Poland",36863514,4
"Schodki","Mata","Poland",34292551,5
"Blinding Lights","The Weeknd","Portugal",15446306,1
